mineral_raw,mineral_base,key,count,family_primary,family_copper,tags
Hydromagnesite,Hydromagnesite,hydromagnesite,3,Carbonates_nitrates,Carbonates,
Arsenopalladinite,Arsenopalladinite,arsenopalladinite,3,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,
Temagamite,Temagamite,temagamite,3,Sulfides_and_analogues,Sulfides_misc,
Pekoite,Pekoite,pekoite,3,Sulfosalts,Cu_sulfides_other,Cu_bearing
Crocoite,Crocoite,crocoite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Bastnäsite-(La),Bastnäsite,bastnäsite,3,Carbonates_nitrates,Carbonates,REE_indicator
Djerfisherite,Djerfisherite,djerfisherite,3,Halides,Halides_other,Cu_bearing;Ni_bearing
Stringhamite,Stringhamite,stringhamite,3,Silicates,Other_silicates,Cu_bearing
Riebeckite,Riebeckite,riebeckite,3,Silicates,Other_silicates,
Tiemannite,Tiemannite,tiemannite,3,Sulfides_and_analogues,Sulfides_misc,
Willemite,Willemite,willemite,3,Silicates,Other_silicates,
Buttgenbachite,Buttgenbachite,buttgenbachite,3,Halides,Halides_other,Cu_bearing
Diaphorite,Diaphorite,diaphorite,3,Sulfosalts,Pb_sulfides,Ag_bearing
Polarite,Polarite,polarite,3,Sulfides_and_analogues,Pb_sulfides,
Cuprocopiapite,Cuprocopiapite,cuprocopiapite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Krupkaite,Krupkaite,krupkaite,3,Sulfosalts,Cu_sulfides_other,Cu_bearing
Ktenasite,Ktenasite,ktenasite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Minnesotaite,Minnesotaite,minnesotaite,3,Silicates,Other_silicates,
Botallackite,Botallackite,botallackite,3,Halides,Halides_other,Cu_bearing
Umangite,Umangite,umangite,3,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Hauchecornite,Hauchecornite,hauchecornite,3,Sulfosalts,Ni_Co_sulfides_arsenides,Ni_bearing
Metazeunerite,Metazeunerite,metazeunerite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing;U_Th_indicator
Chalcomenite,Chalcomenite,chalcomenite,3,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Metavoltine,Metavoltine,metavoltine,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Morenosite,Morenosite,morenosite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Ni_bearing
Curite,Curite,curite,3,Oxides_hydroxides,Oxides_misc,U_Th_indicator
Majakite,Majakite,majakite,3,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Hibbingite,Hibbingite,hibbingite,3,Halides,Halides_other,
Osmium,Osmium,osmium,3,Native_elements,Native_elements_misc,
Meionite,Meionite,meionite,3,Carbonates_nitrates,Carbonates,
Carnotite,Carnotite,carnotite,3,Phosphates_arsenates_vanadates,Phosphates_other,U_Th_indicator
Asbolane,Asbolane,asbolane,3,Oxides_hydroxides,Mn_oxides,Co_bearing;Ni_bearing
Euchroite,Euchroite,euchroite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Stevensite,Stevensite,stevensite,3,Silicates,Other_silicates,
Bayldonite,Bayldonite,bayldonite,3,Oxides_hydroxides,Cu_oxides,Cu_bearing
Pyrophanite,Pyrophanite,pyrophanite,3,Oxides_hydroxides,Ti_oxides,
Metacinnabar,Metacinnabar,metacinnabar,3,Sulfides_and_analogues,Sulfides_misc,
Wupatkiite,Wupatkiite,wupatkiite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Co_bearing
Cristobalite,Cristobalite,cristobalite,3,Silicates,Other_silicates,
Berthierine,Berthierine,berthierine,3,Silicates,Other_silicates,
Mordenite,Mordenite,mordenite,3,Silicates,Other_silicates,
Haycockite,Haycockite,haycockite,3,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Datolite,Datolite,datolite,3,Silicates,Other_silicates,
Nuffieldite,Nuffieldite,nuffieldite,3,Sulfosalts,Cu_sulfides_other,Cu_bearing
Ferricopiapite,Ferricopiapite,ferricopiapite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Telargpalite,Telargpalite,telargpalite,3,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Cervelleite,Cervelleite,cervelleite,3,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Chalcophanite,Chalcophanite,chalcophanite,3,Oxides_hydroxides,Mn_oxides,
Akaganeite,Akaganeite,akaganeite,3,Halides,Halides_other,Ni_bearing
Treasurite,Treasurite,treasurite,3,Sulfosalts,Pb_sulfides,Ag_bearing
Periclase,Periclase,periclase,3,Oxides_hydroxides,Oxides_misc,
Mallardite,Mallardite,mallardite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Fukuchilite,Fukuchilite,fukuchilite,3,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Schwertmannite,Schwertmannite,schwertmannite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Argyrodite,Argyrodite,argyrodite,3,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Meurigite-K,Meurigite-K,meurigite-k,3,Phosphates_arsenates_vanadates,Phosphates_other,
Gyrolite,Gyrolite,gyrolite,3,Silicates,Other_silicates,
Tschermakite,Tschermakite,tschermakite,3,Silicates,Other_silicates,
Parabutlerite,Parabutlerite,parabutlerite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Hausmannite,Hausmannite,hausmannite,3,Oxides_hydroxides,Mn_oxides,
Bismoclite,Bismoclite,bismoclite,3,Halides,Halides_other,
Argentojarosite,Argentojarosite,argentojarosite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Ag_bearing
Roquesite,Roquesite,roquesite,3,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Gaspéite,Gaspéite,gaspéite,3,Carbonates_nitrates,Carbonates,Ni_bearing
Kiddcreekite,Kiddcreekite,kiddcreekite,3,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Izoklakeite,Izoklakeite,izoklakeite,3,Sulfosalts,Cu_sulfides_other,Cu_bearing
Guanajuatite,Guanajuatite,guanajuatite,3,Sulfosalts,As_Sb_Bi_sulfosalts,
Bianchite,Bianchite,bianchite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Maldonite,Maldonite,maldonite,3,Sulfides_and_analogues,As_Sb_Bi_sulfosalts,Au_bearing
Tin,Tin,tin,3,Native_elements,Native_elements_misc,
Cerianite-(Ce),Cerianite,cerianite,3,Oxides_hydroxides,Oxides_misc,REE_indicator
Corrensite,Corrensite,corrensite,3,Silicates,Other_silicates,
Adamite,Adamite,adamite,3,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Montbrayite,Montbrayite,montbrayite,3,Sulfosalts,Pb_sulfides,Ag_bearing;Au_bearing
Amesite,Amesite,amesite,3,Silicates,Other_silicates,
Schreyerite,Schreyerite,schreyerite,3,Oxides_hydroxides,Ti_oxides,
Roscoelite,Roscoelite,roscoelite,3,Silicates,Other_silicates,
Aguilarite,Aguilarite,aguilarite,3,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Florencite-(Ce),Florencite,florencite,3,Phosphates_arsenates_vanadates,REE_accessory,REE_indicator
Bernalite,Bernalite,bernalite,2,Oxides_hydroxides,Fe_oxides_hydroxides,
Nagyágite,Nagyágite,nagyágite,2,Sulfosalts,Pb_sulfides,Au_bearing
Uytenbogaardtite,Uytenbogaardtite,uytenbogaardtite,2,Sulfides_and_analogues,Sulfides_misc,Ag_bearing;Au_bearing
Iridium,Iridium,iridium,2,Native_elements,Native_elements_misc,
Westerveldite,Westerveldite,westerveldite,2,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,
Tochilinite,Tochilinite,tochilinite,2,Sulfides_and_analogues,Sulfides_misc,
Stichtite,Stichtite,stichtite,2,Carbonates_nitrates,Carbonates,
Pyroaurite,Pyroaurite,pyroaurite,2,Carbonates_nitrates,Carbonates,
Népouite,Népouite,népouite,2,Silicates,Other_silicates,Ni_bearing
Taimyrite,Taimyrite,taimyrite,2,Native_elements,PGE_alloys_intermetallics,Cu_bearing
Stumpflite,Stumpflite,stumpflite,2,Sulfides_and_analogues,As_Sb_Bi_sulfosalts,
Vandendriesscheite,Vandendriesscheite,vandendriesscheite,2,Oxides_hydroxides,Oxides_misc,U_Th_indicator
Stilbite-Na,Stilbite-Na,stilbite-na,2,Silicates,Other_silicates,
Kinoite,Kinoite,kinoite,2,Silicates,Other_silicates,Cu_bearing
Schuilingite-(Nd),Schuilingite,schuilingite,2,Carbonates_nitrates,Cu_carbonates_silicates,Cu_bearing;REE_indicator
Picropharmacolite,Picropharmacolite,picropharmacolite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Austinite,Austinite,austinite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Callaghanite,Callaghanite,callaghanite,2,Carbonates_nitrates,Cu_carbonates_silicates,Cu_bearing
Takovite,Takovite,takovite,2,Carbonates_nitrates,Carbonates,Ni_bearing
Lillianite,Lillianite,lillianite,2,Sulfosalts,Pb_sulfides,Ag_bearing
Zincolivenite,Zincolivenite,zincolivenite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Rickardite,Rickardite,rickardite,2,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Mannardite,Mannardite,mannardite,2,Oxides_hydroxides,Ti_oxides,
Celsian,Celsian,celsian,2,Silicates,Other_silicates,
Barytocalcite,Barytocalcite,barytocalcite,2,Carbonates_nitrates,Carbonates,
Natropharmacosiderite,Natropharmacosiderite,natropharmacosiderite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Plattnerite,Plattnerite,plattnerite,2,Oxides_hydroxides,Oxides_misc,
Hollandite,Hollandite,hollandite,2,Oxides_hydroxides,Mn_oxides,
Oxy-dravite,Oxy-dravite,oxy-dravite,2,Silicates,Other_silicates,
Watanabeite,Watanabeite,watanabeite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Sinnerite,Sinnerite,sinnerite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Povondraite,Povondraite,povondraite,2,Silicates,Other_silicates,
Tivanite,Tivanite,tivanite,2,Oxides_hydroxides,Ti_oxides,
Nolanite,Nolanite,nolanite,2,Oxides_hydroxides,Fe_oxides_hydroxides,
Kyzylkumite,Kyzylkumite,kyzylkumite,2,Oxides_hydroxides,Ti_oxides,
Coulsonite,Coulsonite,coulsonite,2,Oxides_hydroxides,Fe_oxides_hydroxides,
Picromerite,Picromerite,picromerite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Plagionite,Plagionite,plagionite,2,Sulfosalts,Pb_sulfides,
Orthoserpierite,Orthoserpierite,orthoserpierite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Tellurantimony,Tellurantimony,tellurantimony,2,Sulfosalts,As_Sb_Bi_sulfosalts,
Fluorwavellite,Fluorwavellite,fluorwavellite,2,Phosphates_arsenates_vanadates,Phosphates_other,
Piemontite,Piemontite,piemontite,2,Silicates,Other_silicates,
Glaucophane,Glaucophane,glaucophane,2,Silicates,Other_silicates,
Giessenite,Giessenite,giessenite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Aleksite,Aleksite,aleksite,2,Sulfosalts,Pb_sulfides,
Gehlenite,Gehlenite,gehlenite,2,Silicates,Other_silicates,
Skippenite,Skippenite,skippenite,2,Sulfosalts,As_Sb_Bi_sulfosalts,
Canfieldite,Canfieldite,canfieldite,2,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Miharaite,Miharaite,miharaite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Heulandite-Ca,Heulandite-Ca,heulandite-ca,2,Silicates,Other_silicates,
Witherite,Witherite,witherite,2,Carbonates_nitrates,Carbonates,
Costibite,Costibite,costibite,2,Sulfosalts,Ni_Co_sulfides_arsenides,Co_bearing
Deerite,Deerite,deerite,2,Silicates,Other_silicates,
Aegirine,Aegirine,aegirine,2,Silicates,Other_silicates,
Gorceixite,Gorceixite,gorceixite,2,Phosphates_arsenates_vanadates,Phosphates_other,
Rheniite,Rheniite,rheniite,2,Sulfides_and_analogues,Sulfides_misc,
Semseyite,Semseyite,semseyite,2,Sulfosalts,Pb_sulfides,
Massicot,Massicot,massicot,2,Oxides_hydroxides,Oxides_misc,
Faustite,Faustite,faustite,2,Phosphates_arsenates_vanadates,Phosphates_other,
Brookite,Brookite,brookite,2,Oxides_hydroxides,Ti_oxides,
Miargyrite,Miargyrite,miargyrite,2,Sulfosalts,As_Sb_Bi_sulfosalts,Ag_bearing
Junoite,Junoite,junoite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Herbertsmithite,Herbertsmithite,herbertsmithite,2,Halides,Halides_other,Cu_bearing
Greigite,Greigite,greigite,2,Sulfides_and_analogues,Sulfides_misc,
Bischofite,Bischofite,bischofite,2,Halides,Halides_other,
Dietrichite,Dietrichite,dietrichite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Moorhouseite,Moorhouseite,moorhouseite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Co_bearing
Synchysite-(Y),Synchysite,synchysite,2,Carbonates_nitrates,Carbonates,REE_indicator
Xanthoconite,Xanthoconite,xanthoconite,2,Sulfosalts,Ni_Co_sulfides_arsenides,Ag_bearing
Jacobsite,Jacobsite,jacobsite,2,Oxides_hydroxides,Fe_oxides_hydroxides,
Gladite,Gladite,gladite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Mendozavilite-NaCu,Mendozavilite-NaCu,mendozavilite-nacu,2,Oxides_hydroxides,Fe_oxides_hydroxides,Cu_bearing;Mo_bearing
Feruvite,Feruvite,feruvite,2,Silicates,Other_silicates,
Nepheline,Nepheline,nepheline,2,Silicates,Other_silicates,
Dufrénite,Dufrénite,dufrénite,2,Phosphates_arsenates_vanadates,Phosphates_other,
Quenstedtite,Quenstedtite,quenstedtite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Paracoquimbite,Paracoquimbite,paracoquimbite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Meta-alunogen,Meta-alunogen,meta-alunogen,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Claudetite,Claudetite,claudetite,2,Oxides_hydroxides,Oxides_misc,
Perroudite,Perroudite,perroudite,2,Halides,Halides_other,Ag_bearing
Vulcanite,Vulcanite,vulcanite,2,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Thortveitite,Thortveitite,thortveitite,2,Silicates,Other_silicates,
Plumbotellurite,Plumbotellurite,plumbotellurite,2,Sulfides_and_analogues,Pb_sulfides,
Hammarite,Hammarite,hammarite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Hodrušite,Hodrušite,hodrušite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Koechlinite,Koechlinite,koechlinite,2,Oxides_hydroxides,Oxides_misc,Mo_bearing
Mercury,Mercury,mercury,2,Native_elements,Native_elements_misc,
Lautite,Lautite,lautite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Weibullite,Weibullite,weibullite,2,Sulfosalts,Pb_sulfides,Ag_bearing
Cymrite,Cymrite,cymrite,2,Silicates,Other_silicates,
Isocubanite,Isocubanite,isocubanite,2,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Variscite,Variscite,variscite,2,Phosphates_arsenates_vanadates,Phosphates_other,
Lazulite,Lazulite,lazulite,2,Phosphates_arsenates_vanadates,Phosphates_other,
Gearksutite,Gearksutite,gearksutite,2,Halides,Halides_fluorite,
Ottrélite,Ottrélite,ottrélite,2,Silicates,Other_silicates,
Pyrosmalite-(Mn),Pyrosmalite,pyrosmalite,2,Silicates,Other_silicates,
Nickelhexahydrite,Nickelhexahydrite,nickelhexahydrite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Ni_bearing
Ferro-tschermakite,Ferro-tschermakite,ferro-tschermakite,2,Silicates,Other_silicates,
Mirabilite,Mirabilite,mirabilite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Metahohmannite,Metahohmannite,metahohmannite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Bismite,Bismite,bismite,2,Oxides_hydroxides,Oxides_misc,
Azoproite,Azoproite,azoproite,2,Borates,Borates,
Nickel,Nickel,nickel,2,Native_elements,Native_elements_misc,Ni_bearing
Heyrovskýite,Heyrovskýite,heyrovskýite,2,Sulfosalts,Pb_sulfides,
Arsenohauchecornite,Arsenohauchecornite,arsenohauchecornite,2,Sulfosalts,Ni_Co_sulfides_arsenides,Ni_bearing
Mrázekite,Mrázekite,mrázekite,2,Phosphates_arsenates_vanadates,Phosphates_other,Cu_bearing
Hectorite,Hectorite,hectorite,2,Halides,Halides_fluorite,
Tučekite,Tučekite,tučekite,2,Sulfosalts,Ni_Co_sulfides_arsenides,Ni_bearing
Billietite,Billietite,billietite,2,Oxides_hydroxides,Oxides_misc,U_Th_indicator
Becquerelite,Becquerelite,becquerelite,2,Oxides_hydroxides,Oxides_misc,U_Th_indicator
Auricupride,Auricupride,auricupride,2,Native_elements,PGE_alloys_intermetallics,Au_bearing;Cu_bearing
Vincentite,Vincentite,vincentite,2,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,
Palarstanide,Palarstanide,palarstanide,2,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,
Fischesserite,Fischesserite,fischesserite,2,Sulfides_and_analogues,Sulfides_misc,Ag_bearing;Au_bearing
Hübnerite,Hübnerite,hübnerite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Fluorellestadite,Fluorellestadite,fluorellestadite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Kurilite,Kurilite,kurilite,2,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Arthurite,Arthurite,arthurite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Chromium,Chromium,chromium,2,Native_elements,Native_elements_misc,
Natrochalcite,Natrochalcite,natrochalcite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Calumetite,Calumetite,calumetite,2,Halides,Halides_other,Cu_bearing
Spertiniite,Spertiniite,spertiniite,2,Oxides_hydroxides,Cu_oxides,Cu_bearing
Freieslebenite,Freieslebenite,freieslebenite,2,Sulfosalts,Pb_sulfides,Ag_bearing
Nitrocalcite,Nitrocalcite,nitrocalcite,2,Carbonates_nitrates,Carbonates,
Roubaultite,Roubaultite,roubaultite,2,Carbonates_nitrates,Cu_carbonates_silicates,Cu_bearing;U_Th_indicator
Oosterboschite,Oosterboschite,oosterboschite,2,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Masuyite,Masuyite,masuyite,2,Oxides_hydroxides,Oxides_misc,U_Th_indicator
Kolwezite,Kolwezite,kolwezite,2,Carbonates_nitrates,Cu_carbonates_silicates,Co_bearing;Cu_bearing
Kamotoite-(Y),Kamotoite,kamotoite,2,Carbonates_nitrates,Carbonates,REE_indicator;U_Th_indicator
Tennantite-(Zn),Tennantite,tennantite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Carnallite,Carnallite,carnallite,2,Halides,Halides_other,
Paramelaconite,Paramelaconite,paramelaconite,2,Oxides_hydroxides,Cu_oxides,Cu_bearing
Hetaerolite,Hetaerolite,hetaerolite,2,Oxides_hydroxides,Mn_oxides,
Marshite,Marshite,marshite,2,Halides,Halides_other,Cu_bearing
Ferro-gedrite,Ferro-gedrite,ferro-gedrite,2,Silicates,Other_silicates,
Lindströmite,Lindströmite,lindströmite,2,Sulfosalts,Cu_sulfides_other,Cu_bearing
Alpersite,Alpersite,alpersite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Mendozavilite-NaFe,Mendozavilite-NaFe,mendozavilite-nafe,2,Oxides_hydroxides,Fe_oxides_hydroxides,Mo_bearing
Dienerite,Dienerite,dienerite,2,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Ni_bearing
Cabriite,Cabriite,cabriite,2,Native_elements,PGE_alloys_intermetallics,Cu_bearing
Studtite,Studtite,studtite,2,Oxides_hydroxides,Oxides_misc,U_Th_indicator
Sengierite,Sengierite,sengierite,2,Phosphates_arsenates_vanadates,Phosphates_other,Cu_bearing;U_Th_indicator
Schoepite,Schoepite,schoepite,2,Oxides_hydroxides,Oxides_misc,U_Th_indicator
Saléeite,Saléeite,saléeite,2,Phosphates_arsenates_vanadates,Phosphates_other,U_Th_indicator
Tobermorite,Tobermorite,tobermorite,2,Silicates,Other_silicates,
Sauconite,Sauconite,sauconite,2,Silicates,Other_silicates,
Metavivianite,Metavivianite,metavivianite,2,Phosphates_arsenates_vanadates,Phosphates_other,
Shadlunite,Shadlunite,shadlunite,2,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Ruarsite,Ruarsite,ruarsite,2,Sulfosalts,Ni_Co_sulfides_arsenides,
Putoranite,Putoranite,putoranite,2,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Plumbopalladinite,Plumbopalladinite,plumbopalladinite,2,Native_elements,PGE_alloys_intermetallics,
Weissite,Weissite,weissite,2,Sulfides_and_analogues,Cu_sulfides_other,Cu_bearing
Kornelite,Kornelite,kornelite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Hohmannite,Hohmannite,hohmannite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Chabazite-Ca,Chabazite-Ca,chabazite-ca,2,Silicates,Other_silicates,
Susannite,Susannite,susannite,2,Carbonates_nitrates,Carbonates,
Pecoraite,Pecoraite,pecoraite,2,Silicates,Other_silicates,Ni_bearing
Glaukosphaerite,Glaukosphaerite,glaukosphaerite,2,Carbonates_nitrates,Cu_carbonates_silicates,Cu_bearing;Ni_bearing
Tangdanite,Tangdanite,tangdanite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Vauquelinite,Vauquelinite,vauquelinite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Tyuyamunite,Tyuyamunite,tyuyamunite,2,Phosphates_arsenates_vanadates,Phosphates_other,U_Th_indicator
Hydrocerussite,Hydrocerussite,hydrocerussite,2,Carbonates_nitrates,Carbonates,
Chalcocyanite,Chalcocyanite,chalcocyanite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Bieberite,Bieberite,bieberite,2,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Co_bearing
Clinosafflorite,Clinosafflorite,clinosafflorite,2,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,Co_bearing
