Mindat_id,Deposit_type,age_category,Macrostrat_model_lithology,GLiM_model_lithology,mapped_species_count,present_family_count,Mindat_id,documentation_rank_within_type,documentation_percentile_within_type,remove_top_documented
10617,VMS,Precambrian,felsic,metamorphic,37,19.0,10617,30,0.08797653958944282,True
11307,Porphyry,Paleozoic,other,other,42,23.0,11307,52,0.08739495798319327,True
11726,IOCG,Precambrian,siliciclastic,siliciclastic,104,32.0,11726,1,0.012195121951219513,True
122928,Porphyry,Paleozoic,siliciclastic,siliciclastic,46,24.0,122928,37,0.06218487394957983,True
123464,Porphyry,Mesozoic,other,other,42,22.0,123464,55,0.09243697478991597,True
123470,IOCG,Precambrian,other,metamorphic,58,27.0,123470,4,0.04878048780487805,True
12663,Porphyry,Cenozoic,felsic,siliciclastic,59,23.0,12663,17,0.02857142857142857,True
134576,Porphyry,Cenozoic,other,other,73,25.0,134576,8,0.013445378151260505,True
13473,Sediment-Hosted,Paleozoic,siliciclastic,siliciclastic,37,22.0,13473,9,0.06521739130434782,True
134936,Porphyry,Cenozoic,other,volcanic,66,27.0,134936,12,0.020168067226890758,True
135237,Porphyry,Mesozoic,other,felsic,46,20.0,135237,38,0.06386554621848739,True
135298,VMS,Precambrian,other,mafic,41,24.0,135298,25,0.07331378299120235,True
13770,Porphyry,Unknown,volcanic,volcanic,50,27.0,13770,28,0.047058823529411764,True
13826,IOCG,Precambrian,other,other,44,17.0,13826,9,0.10975609756097561,True
13841,Sediment-Hosted,Unknown,siliciclastic,siliciclastic,36,17.0,13841,11,0.07971014492753623,True
140,VMS,Paleozoic,felsic,volcanic,37,22.0,140,27,0.07917888563049853,True
143975,Magmatic sulfide,Paleozoic,other,carbonate,77,22.0,143975,5,0.06172839506172839,True
144055,VMS,Paleozoic,other,other,37,22.0,144055,28,0.08211143695014662,True
14413,VMS,Paleozoic,carbonate,metamorphic,80,26.0,14413,3,0.008797653958944282,True
145877,IOCG,Precambrian,metamorphic,metamorphic,49,22.0,145877,6,0.07317073170731707,True
146855,Porphyry,Mesozoic,felsic,other,41,23.0,146855,59,0.09915966386554621,True
146933,VMS,Mesozoic,other,carbonate,49,24.0,146933,15,0.04398826979472141,True
14752,VMS,Paleozoic,carbonate,volcanic,60,19.0,14752,9,0.026392961876832845,True
15187,Porphyry,Precambrian,volcanic,metamorphic,47,23.0,15187,34,0.05714285714285714,True
152,Sediment-Hosted,Precambrian,carbonate,other,48,22.0,152,6,0.043478260869565216,True
155764,Porphyry,Paleozoic,other,other,44,26.0,155764,42,0.07058823529411765,True
158068,Porphyry,Cenozoic,siliciclastic,siliciclastic,54,19.0,158068,23,0.03865546218487395,True
15998,Sediment-Hosted,Paleozoic,volcanic,metamorphic,80,26.0,15998,3,0.021739130434782608,True
16242,Porphyry,Unknown,felsic,felsic,50,22.0,16242,29,0.04873949579831933,True
163,Sediment-Hosted,Precambrian,carbonate,other,36,16.0,163,12,0.08695652173913043,True
17046,IOCG,Paleozoic,other,metamorphic,48,19.0,17046,7,0.08536585365853659,True
17055,VMS,Precambrian,felsic,felsic,48,19.0,17055,16,0.0469208211143695,True
171,IOCG,Unknown,felsic,other,51,26.0,171,5,0.06097560975609756,True
1728,VMS,Paleozoic,felsic,volcanic,116,30.0,1728,1,0.002932551319648094,True
175692,VMS,Paleozoic,felsic,other,48,19.0,175692,17,0.04985337243401759,True
185726,VMS,Paleozoic,felsic,metamorphic,37,20.0,185726,29,0.08504398826979472,True
185841,VMS,Paleozoic,mafic,volcanic,36,20.0,185841,32,0.093841642228739,True
188053,Porphyry,Cenozoic,other,felsic,56,26.0,188053,19,0.031932773109243695,True
18839,VMS,Precambrian,felsic,volcanic,47,21.0,18839,18,0.05278592375366569,True
190736,IOCG,Unknown,felsic,volcanic,44,24.0,190736,8,0.0975609756097561,True
19429,VMS,Paleozoic,other,volcanic,45,21.0,19429,19,0.05571847507331378,True
194553,Porphyry,Mesozoic,volcanic,felsic,48,23.0,194553,32,0.05378151260504202,True
194728,Porphyry,Cenozoic,felsic,felsic,41,21.0,194728,60,0.10084033613445378,True
20111,Sediment-Hosted,Precambrian,other,metamorphic,34,18.0,20111,14,0.10144927536231885,True
204813,Sediment-Hosted,Paleozoic,metamorphic,other,35,17.0,204813,13,0.09420289855072464,True
205937,Porphyry,Cenozoic,metamorphic,volcanic,49,24.0,205937,31,0.052100840336134456,True
206147,Porphyry,Mesozoic,siliciclastic,other,42,23.0,206147,53,0.08907563025210084,True
206148,Porphyry,Cenozoic,siliciclastic,volcanic,42,24.0,206148,51,0.08571428571428572,True
206222,Porphyry,Unknown,felsic,metamorphic,43,20.0,206222,49,0.08235294117647059,True
206301,Porphyry,Cenozoic,metamorphic,metamorphic,49,25.0,206301,30,0.05042016806722689,True
206908,Porphyry,Cenozoic,other,other,45,21.0,206908,40,0.06722689075630252,True
207315,Porphyry,Cenozoic,other,other,42,21.0,207315,56,0.09411764705882353,True
21589,Porphyry,Cenozoic,felsic,other,61,22.0,21589,15,0.025210084033613446,True
21755,VMS,Mesozoic,volcanic,volcanic,35,20.0,21755,35,0.10263929618768329,True
225030,Magmatic sulfide,Precambrian,volcanic,carbonate,57,21.0,225030,8,0.09876543209876543,True
231,VMS,Precambrian,mafic,siliciclastic,65,27.0,231,8,0.02346041055718475,True
232876,Porphyry,Cenozoic,other,felsic,47,23.0,232876,35,0.058823529411764705,True
23362,Porphyry,Cenozoic,other,other,43,19.0,23362,50,0.08403361344537816,True
2461,VMS,Precambrian,volcanic,volcanic,38,19.0,2461,26,0.07624633431085044,True
248178,Magmatic sulfide,Precambrian,mafic,volcanic,90,27.0,248178,2,0.024691358024691357,True
24995,IOCG,Precambrian,felsic,metamorphic,67,27.0,24995,3,0.036585365853658534,True
25120,Porphyry,Mesozoic,felsic,volcanic,69,28.0,25120,10,0.01680672268907563,True
25121,Porphyry,Mesozoic,felsic,carbonate,73,25.0,25121,7,0.011764705882352941,True
25303,VMS,Precambrian,mafic,metamorphic,56,21.0,25303,11,0.03225806451612903,True
2596,Porphyry,Mesozoic,carbonate,metamorphic,70,23.0,2596,9,0.015126050420168067,True
27162,Porphyry,Mesozoic,carbonate,carbonate,43,24.0,27162,46,0.0773109243697479,True
27221,Porphyry,Cenozoic,other,volcanic,43,23.0,27221,47,0.07899159663865546,True
27227,Porphyry,Cenozoic,other,felsic,41,23.0,27227,58,0.09747899159663866,True
2725,Magmatic sulfide,Precambrian,metamorphic,metamorphic,59,19.0,2725,7,0.08641975308641975,True
2751,Magmatic sulfide,Mesozoic,carbonate,siliciclastic,187,25.0,2751,1,0.012345679012345678,True
2778,Sediment-Hosted,Precambrian,metamorphic,other,60,22.0,2778,4,0.028985507246376812,True
28095,VMS,Mesozoic,volcanic,other,44,21.0,28095,21,0.06158357771260997,True
28230,Porphyry,Cenozoic,carbonate,felsic,46,27.0,28230,36,0.06050420168067227,True
28448,Porphyry,Cenozoic,other,metamorphic,44,24.0,28448,43,0.07226890756302522,True
30204,Porphyry,Mesozoic,felsic,other,44,24.0,30204,44,0.07394957983193277,True
30673,Sediment-Hosted,Unknown,volcanic,other,90,26.0,30673,1,0.007246376811594203,True
3123,VMS,Paleozoic,carbonate,other,80,25.0,3123,4,0.011730205278592375,True
32440,Porphyry,Cenozoic,mafic,other,54,22.0,32440,22,0.03697478991596639,True
3326,Porphyry,Cenozoic,carbonate,siliciclastic,81,25.0,3326,4,0.0067226890756302525,True
3346,VMS,Precambrian,felsic,felsic,58,23.0,3346,10,0.02932551319648094,True
3374,Porphyry,Cenozoic,felsic,volcanic,52,22.0,3374,26,0.043697478991596636,True
3376,Porphyry,Cenozoic,other,other,68,23.0,3376,11,0.018487394957983194,True
3377,Porphyry,Mesozoic,carbonate,siliciclastic,59,24.0,3377,16,0.02689075630252101,True
38508,Sediment-Hosted,Mesozoic,siliciclastic,siliciclastic,38,16.0,38508,8,0.057971014492753624,True
3856,Sediment-Hosted,Precambrian,siliciclastic,siliciclastic,47,25.0,3856,7,0.050724637681159424,True
39272,Porphyry,Precambrian,other,felsic,56,27.0,39272,18,0.030252100840336135,True
39273,Porphyry,Cenozoic,other,volcanic,79,30.0,39273,6,0.010084033613445379,True
3978,Porphyry,Cenozoic,carbonate,siliciclastic,47,23.0,3978,33,0.05546218487394958,True
413086,Sediment-Hosted,Unknown,other,metamorphic,37,17.0,413086,10,0.07246376811594203,True
413873,Porphyry,Unknown,felsic,other,44,27.0,413873,41,0.06890756302521009,True
4181,Porphyry,Cenozoic,felsic,felsic,92,30.0,4181,2,0.0033613445378151263,True
426034,Porphyry,Unknown,felsic,volcanic,43,21.0,426034,48,0.08067226890756303,True
4322,Sediment-Hosted,Paleozoic,other,metamorphic,89,22.0,4322,2,0.014492753623188406,True
433522,VMS,Unknown,felsic,volcanic,44,19.0,433522,22,0.06451612903225806,True
43582,Porphyry,Cenozoic,mafic,carbonate,42,22.0,43582,54,0.0907563025210084,True
43642,Porphyry,Mesozoic,felsic,felsic,80,31.0,43642,5,0.008403361344537815,True
4381,VMS,Precambrian,mafic,volcanic,80,23.0,4381,5,0.01466275659824047,True
44003,Sediment-Hosted,Precambrian,other,metamorphic,54,16.0,44003,5,0.036231884057971016,True
4464,Porphyry,Cenozoic,volcanic,siliciclastic,52,19.0,4464,27,0.0453781512605042,True
4496,VMS,Precambrian,volcanic,metamorphic,68,26.0,4496,7,0.020527859237536656,True
46331,VMS,Paleozoic,metamorphic,felsic,35,21.0,46331,34,0.09970674486803519,True
46421,VMS,Paleozoic,felsic,metamorphic,43,22.0,46421,23,0.06744868035190615,True
506,Magmatic sulfide,Precambrian,felsic,metamorphic,53,20.0,506,9,0.1111111111111111,True
52166,Magmatic sulfide,Precambrian,other,metamorphic,83,22.0,52166,4,0.04938271604938271,True
5436,Porphyry,Cenozoic,felsic,felsic,81,29.0,5436,3,0.005042016806722689,True
559,VMS,Precambrian,felsic,other,53,22.0,559,12,0.03519061583577713,True
56211,IOCG,Precambrian,felsic,volcanic,70,26.0,56211,2,0.024390243902439025,True
5774,VMS,Paleozoic,felsic,volcanic,92,32.0,5774,2,0.005865102639296188,True
5792,Porphyry,Cenozoic,other,other,61,26.0,5792,14,0.023529411764705882,True
60113,Porphyry,Cenozoic,mafic,siliciclastic,53,27.0,60113,24,0.040336134453781515,True
62248,Porphyry,Cenozoic,metamorphic,metamorphic,54,24.0,62248,21,0.03529411764705882,True
641,Porphyry,Cenozoic,other,felsic,141,28.0,641,1,0.0016806722689075631,True
64183,VMS,Precambrian,metamorphic,metamorphic,44,26.0,64183,20,0.05865102639296188,True
64292,Porphyry,Mesozoic,other,siliciclastic,45,23.0,64292,39,0.06554621848739496,True
6771,VMS,Precambrian,volcanic,felsic,36,14.0,6771,33,0.0967741935483871,True
68257,Porphyry,Cenozoic,metamorphic,carbonate,43,25.0,68257,45,0.07563025210084033,True
73233,VMS,Cenozoic,volcanic,volcanic,51,22.0,73233,13,0.03812316715542522,True
7797,Magmatic sulfide,Precambrian,mafic,other,85,25.0,7797,3,0.037037037037037035,True
8082,Magmatic sulfide,Precambrian,other,mafic,69,21.0,8082,6,0.07407407407407407,True
8417,Porphyry,Paleozoic,volcanic,volcanic,42,20.0,8417,57,0.0957983193277311,True
8886,Porphyry,Cenozoic,volcanic,felsic,52,25.0,8886,25,0.04201680672268908,True
8905,VMS,Paleozoic,volcanic,siliciclastic,37,18.0,8905,31,0.09090909090909091,True
8906,VMS,Paleozoic,other,siliciclastic,42,20.0,8906,24,0.07038123167155426,True
9496,VMS,Precambrian,felsic,volcanic,75,22.0,9496,6,0.017595307917888565,True
9702,VMS,Precambrian,metamorphic,volcanic,51,21.0,9702,14,0.04105571847507331,True
9706,Porphyry,Cenozoic,metamorphic,metamorphic,54,27.0,9706,20,0.03361344537815126,True
9905,Porphyry,Cenozoic,carbonate,volcanic,63,22.0,9905,13,0.021848739495798318,True
