holdout_continent,K,split_number,n_inner_train,n_inner_validation,validation_perplexity,mean_topic_cosine,minimum_topic_cosine
Africa,5,1,927,232,27.167572102730148,0.9021106500382509,0.8683323546203264
Africa,5,2,927,232,27.440822488747006,0.8904471322552023,0.8606663286613427
Africa,5,3,927,232,27.59392225455497,0.9264198496949243,0.8725232098733662
Africa,6,1,927,232,28.228005244212962,0.9906417646822625,0.9654951625171114
Africa,6,2,927,232,28.833101262876177,0.8481248832289018,0.4141002867570237
Africa,6,3,927,232,29.07876249948822,0.942834310376683,0.9144585803941173
Africa,7,1,927,232,29.193337104382717,0.8412588180529469,0.08241415497568245
Africa,7,2,927,232,28.86827421674958,0.8145274988709641,0.04645375161296307
Africa,7,3,927,232,28.889593269684905,0.8465714006022659,0.26745758952694304
Africa,8,1,927,232,29.957320670348082,0.9245146450821684,0.6287921614931242
Africa,8,2,927,232,29.71507336531517,0.9226330651004031,0.6269345080279287
Africa,8,3,927,232,29.546327670373138,0.8513861043992711,0.07130910717806979
Africa,9,1,927,232,30.360542849915955,0.9436420028414223,0.8043676264077336
Africa,9,2,927,232,30.30559332814973,0.8957877996746464,0.6688848707716769
Africa,9,3,927,232,29.468591562843027,0.899115713914861,0.29496372669155846
Asia,5,1,710,178,28.183645947681235,0.9780066441361898,0.954253026537248
Asia,5,2,710,178,28.865349815170962,0.9866381485646357,0.9534342054135432
Asia,5,3,710,178,27.716343815243945,0.9136489678779954,0.857248163471127
Asia,6,1,710,178,29.102757733287145,0.7950266042022825,0.6071472841518805
Asia,6,2,710,178,29.53813212148448,0.7733704591303732,0.0567560866704436
Asia,6,3,710,178,28.586845310892326,0.8115605252587182,0.24975672715996666
Asia,7,1,710,178,30.16560601548269,0.9006558909570905,0.6624824905668981
Asia,7,2,710,178,31.060710740032313,0.884693331714515,0.746524974989365
Asia,7,3,710,178,29.47012115968071,0.9257245565217637,0.7655765843912372
Asia,8,1,710,178,30.585290932342986,0.8336716930011913,0.12198519294759788
Asia,8,2,710,178,31.662102029449088,0.8629810649308578,0.22594946842816244
Asia,8,3,710,178,30.03011959166067,0.8258945802707307,0.17295274586787537
Asia,9,1,710,178,31.86933177048808,0.8907592513972342,0.3588710045111723
Asia,9,2,710,178,32.30234500348975,0.8363814262995702,0.21075687430581896
Asia,9,3,710,178,30.202911101869496,0.7575794793018213,0.0002809373981069511
Europe,5,1,852,214,28.93032816751054,0.9775397322600059,0.9586426478861739
Europe,5,2,852,214,28.950729473765254,0.8860577170531565,0.8049782831641784
Europe,5,3,852,214,28.319364371160475,0.9553971894970672,0.9291189376752385
Europe,6,1,852,214,29.751503475297852,0.9768515481691796,0.9407958262223146
Europe,6,2,852,214,29.490607035890825,0.9730002753807553,0.9561242630464651
Europe,6,3,852,214,29.167312729551195,0.9656182469173119,0.9315832920580454
Europe,7,1,852,214,30.517383455470735,0.8590739622728712,0.3427316481515062
Europe,7,2,852,214,30.122776278577042,0.8106618064006793,0.23143617741548997
Europe,7,3,852,214,29.876302144484754,0.8267580252674768,0.22709288716888634
Europe,8,1,852,214,31.0913127309675,0.96330779871842,0.9190751792709165
Europe,8,2,852,214,31.12836949975855,0.8920056840767245,0.45570538651690945
Europe,8,3,852,214,31.016598755161848,0.9389655858073884,0.7571226034475236
Europe,9,1,852,214,31.846447992085874,0.9360796495080493,0.7019308404737403
Europe,9,2,852,214,31.132327832717984,0.8234718233454633,0.08600531226893277
Europe,9,3,852,214,30.559372122067405,0.9026498250830868,0.6179075540854424
North America,5,1,696,175,30.167523426000674,0.9637970638356596,0.9095788018074611
North America,5,2,696,175,28.960912757647225,0.9858754817123483,0.9761653545667888
North America,5,3,696,175,28.9957838062363,0.958325943918231,0.8729844584299666
North America,6,1,696,175,31.1414998312106,0.9542083804451614,0.9039650357342031
North America,6,2,696,175,29.286299501740462,0.953447629552799,0.9112979036251587
North America,6,3,696,175,30.215311127378143,0.9515719177556697,0.9161662722351829
North America,7,1,696,175,32.17083066504798,0.8342384258214114,0.48141470487987637
North America,7,2,696,175,30.309081300683285,0.8386608399436307,0.4004188990776667
North America,7,3,696,175,30.563704039745506,0.8342102749708553,0.5841725015281987
North America,8,1,696,175,32.533203123118625,0.8582042311185217,0.3299732043339776
North America,8,2,696,175,31.352990024946784,0.8219260011629355,0.4071943281242455
North America,8,3,696,175,31.61448002155935,0.8425636361385931,0.07780939134739603
North America,9,1,696,175,32.17070784772248,0.8914398757298123,0.33487281659061485
North America,9,2,696,175,31.82811090445861,0.9373421956030376,0.8124809050875829
North America,9,3,696,175,32.01181467517891,0.8490562647069706,0.26138516021181923
Oceania,5,1,893,224,28.575727837977006,0.9826542606089342,0.9366410094974923
Oceania,5,2,893,224,28.485037132297297,0.7578221386962396,0.1520248072235491
Oceania,5,3,893,224,28.019982225481545,0.9479174072694144,0.9102571565421733
Oceania,6,1,893,224,29.184581552323085,0.8920924155406346,0.6258857791912794
Oceania,6,2,893,224,29.407202839685606,0.9095852725826763,0.7593422970300953
Oceania,6,3,893,224,29.009760593210896,0.9590413286052684,0.9020410855478249
Oceania,7,1,893,224,29.379639612240318,0.9498364397049027,0.8293808437059479
Oceania,7,2,893,224,28.869370757428513,0.9645218415085139,0.9364604726713869
Oceania,7,3,893,224,29.079093837597714,0.9762237426103697,0.9479412293742776
Oceania,8,1,893,224,30.69264958925465,0.8870234021997908,0.33671559218549496
Oceania,8,2,893,224,30.198713718240107,0.9413661710073609,0.8579057425795579
Oceania,8,3,893,224,29.885608782904338,0.9728649375227794,0.9327642511069899
Oceania,9,1,893,224,30.78364285231123,0.8777919387596441,0.12099314739403863
Oceania,9,2,893,224,29.81573063946987,0.9598242145247082,0.8989956297464063
Oceania,9,3,893,224,30.294478879545053,0.8128060188672436,0.34813306164127916
South America,5,1,867,217,29.357420673507423,0.958143801791118,0.8936952706616341
South America,5,2,867,217,27.77825978149107,0.9479646412759013,0.8815191878933889
South America,5,3,867,217,27.65245678544558,0.9506425140728748,0.871659798602901
South America,6,1,867,217,29.951877856608764,0.8705054787717593,0.5300003560165348
South America,6,2,867,217,28.444851717659272,0.9943999614362652,0.9892525562790332
South America,6,3,867,217,28.639556709396835,0.8517282271823953,0.5620770258641411
South America,7,1,867,217,30.38056990995221,0.9642278075115442,0.9293313854219212
South America,7,2,867,217,29.098950239027044,0.7869105446348333,0.08082515565542091
South America,7,3,867,217,29.1457449695198,0.9182634535203703,0.6771599834748651
South America,8,1,867,217,31.6370272343289,0.9749705745578312,0.9096369448442474
South America,8,2,867,217,30.074240814802874,0.8516893009698245,0.18271238902065143
South America,8,3,867,217,30.057075956617393,0.9496067647113101,0.800223911845529
South America,9,1,867,217,32.06525317697463,0.8829294773768899,0.1405312828349123
South America,9,2,867,217,29.827592825942283,0.8275883027447303,0.1193799953856121
South America,9,3,867,217,30.776836256176008,0.8965772754633977,0.3375277188731589
